Year,Assault with injury and assault with intent to cause serious harm,Robbery,Threats to kill,Other selected offences
Mar-11,14647,17187,1424,762
Mar-12,13130,16978,1172,724
Mar-13,11839,13692,1155,617
Mar-14,12203,12451,1295,745
Mar-15,13836,11025,1696,844
Mar-16,16187,11496,2297,947
Mar-17,19455,14329,2918,1109
Mar-18,21765,19138,3385,1227
Mar-19,22821,21226,3954,1341
Mar-20,22873,22727,4746,1636
Mar-21,20589,14842,4790,1450
Mar-22,22610,15657,5551,1754
Mar-23,22169,18807,5779,1649
Mar-24,22125,21171,5341,1717
Mar-25,21184,20865,5694,1906